TIME(MS),COMMAND,VALUE
778.0   ,5      ,1    
1300.0  ,5      ,0    
2136.0  ,5      ,1    
2554.0  ,5      ,0    
2798.0  ,5      ,1    
3111.0  ,5      ,0    
3471.0  ,5      ,1    
4005.0  ,5      ,0    
4841.0  ,5      ,1    
5271.0  ,5      ,0    
5503.0  ,5      ,1    
5666.0  ,5      ,0    
6049.0  ,5      ,1    
6734.0  ,5      ,0    
8173.0  ,5      ,1    
8835.0  ,5      ,0    
9044.0  ,5      ,1    
9427.0  ,5      ,0    
9857.0  ,5      ,1    
10077.0 ,5      ,0    
10275.0 ,5      ,1    
10646.0 ,5      ,0    
10960.0 ,5      ,1    
11238.0 ,5      ,0    
11401.0 ,5      ,1    
11680.0 ,5      ,0    
11784.0 ,5      ,1    
12190.0 ,5      ,0    
12481.0 ,5      ,1    
13514.0 ,5      ,0    
14222.0 ,5      ,1    
14536.0 ,5      ,0    
14756.0 ,5      ,1    
15116.0 ,5      ,0    
15383.0 ,5      ,1    
15673.0 ,5      ,0    
15894.0 ,5      ,1    
16567.0 ,5      ,0    
16718.0 ,5      ,1    
16962.0 ,5      ,0    
17276.0 ,5      ,1    
17566.0 ,5      ,0    
17903.0 ,5      ,1    
18913.0 ,5      ,0    
19342.0 ,5      ,1    
19737.0 ,5      ,0    
20074.0 ,5      ,1    
20608.0 ,5      ,0    
20805.0 ,5      ,1    
21037.0 ,5      ,0    
21223.0 ,5      ,1    
21699.0 ,5      ,0    
21885.0 ,5      ,1    
22152.0 ,5      ,0    
22338.0 ,5      ,1    
22570.0 ,5      ,0    
22790.0 ,5      ,1    
23081.0 ,5      ,0    
23313.0 ,5      ,1    
23963.0 ,5      ,0    
24195.0 ,5      ,1    
24439.0 ,5      ,0    
24636.0 ,5      ,1    
24927.0 ,5      ,0    
25217.0 ,5      ,1    
25496.0 ,5      ,0    
25763.0 ,5      ,1    
26122.0 ,5      ,0    
26355.0 ,5      ,1    
26668.0 ,5      ,0    
26947.0 ,5      ,1    
27434.0 ,5      ,0    
27678.0 ,5      ,1    
27887.0 ,5      ,0    
28096.0 ,5      ,1    
28688.0 ,5      ,0    
28788.0 ,END    ,1    
