TIME(MS),COMMAND,VALUE
6989    ,5      ,1    
8475    ,5      ,0    
8591    ,5      ,1    
8684    ,5      ,0    
8800    ,5      ,1    
8916    ,5      ,0    
9160    ,5      ,1    
10333   ,5      ,0    
11459   ,5      ,1    
13003   ,5      ,0    
13526   ,5      ,1    
13851   ,5      ,0    
15999   ,5      ,1    
17461   ,5      ,0    
17612   ,5      ,1    
17763   ,5      ,0    
17961   ,5      ,1    
18158   ,5      ,0    
18413   ,5      ,1    
19795   ,5      ,0    
20399   ,5      ,1    
20619   ,5      ,0    
21966   ,5      ,1    
22558   ,5      ,0    
22767   ,5      ,1    
24880   ,5      ,0    
24950   ,5      ,1    
27260   ,5      ,0    
28363   ,5      ,1    
29501   ,5      ,0    
29601   ,END    ,1    
