TIME(MS),COMMAND,VALUE
697     ,5      ,1    
1265    ,5      ,0    
2148    ,5      ,1    
2740    ,5      ,0    
3611    ,5      ,1    
4180    ,5      ,0    
5027    ,5      ,1    
5770    ,5      ,0    
5991    ,5      ,1    
6583    ,5      ,0    
7012    ,5      ,1    
7999    ,5      ,0    
8475    ,5      ,1    
9451    ,5      ,0    
9868    ,5      ,1    
10855   ,5      ,0    
11204   ,5      ,1    
11343   ,5      ,0    
11505   ,5      ,1    
11691   ,5      ,0    
11807   ,5      ,1    
12353   ,5      ,0    
12875   ,5      ,1    
13758   ,5      ,0    
14327   ,5      ,1    
15256   ,5      ,0    
15778   ,5      ,1    
16742   ,5      ,0    
17438   ,5      ,1    
17589   ,5      ,0    
18146   ,5      ,1    
18657   ,5      ,0    
19609   ,5      ,1    
20108   ,5      ,0    
21049   ,5      ,1    
21641   ,5      ,0    
22523   ,5      ,1    
22918   ,5      ,0    
23115   ,5      ,1    
23301   ,5      ,0    
23394   ,5      ,1    
23452   ,5      ,0    
23986   ,5      ,1    
24683   ,5      ,0    
25437   ,5      ,1    
26146   ,5      ,0    
26912   ,5      ,1    
27620   ,5      ,0    
28584   ,5      ,1    
28653   ,5      ,0    
29292   ,5      ,1    
29385   ,5      ,0    
29826   ,5      ,1    
29989   ,5      ,0    
30089   ,END    ,1    
